"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","item","clicks","objects","target_pos","probe_obj","probe_p1","probe_p2","probe_p3","probe_p4","test_p1","test_p2","test_p3","test_p4","test_p5","test_p6","test_p7","corr_p1","corr_p2","corr_p3","corr_p4","corr_p5","corr_p6","corr_p7","P1T_rectangle","P2T_rectangle","P3T_rectangle","P4T_rectangle","P5T_rectangle","P6T_rectangle","P7T_rectangle","presented","start","end","rt","accuracy","version","monitor_size","window_size","totaltime_exp","filename"
"mn003",11,6,2021,3,10,"3 or younger","KULeuven","Dutch","no","2025-04-22_11h52.53.377","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","sample1",1,NA,NA,NA,"colored PNG/PICTURE_203.png","None","None","None","None","colored PNG/PICTURE_203.png","colored PNG/PICTURE_508.png","None","None","None",NA,1,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,1,32.7519427998923,47.6979018999264,14.9459591000341,1,"local","[1024, 768]","[1920 1080]",NA,"mn003"
"mn003",11,6,2021,3,10,"3 or younger","KULeuven","Dutch","no","2025-04-22_11h52.53.377","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item01",1,2,"test_p3","p3","colored PNG/PICTURE_78.png",NA,NA,NA,"blank.png","colored PNG/PICTURE_353.png","colored PNG/PICTURE_78.png","blank.png","blank.png","blank.png","blank.png",0,0,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,56.6772807999514,70.5900898999535,13.912809100002,1,"local","[1024, 768]","[1920 1080]",NA,"mn003"
"mn003",11,6,2021,3,10,"3 or younger","KULeuven","Dutch","no","2025-04-22_11h52.53.377","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item02",1,2,"test_p2","p2","colored PNG/PICTURE_423.png",NA,NA,NA,"blank.png","colored PNG/PICTURE_423.png","colored PNG/PICTURE_695.png","blank.png","blank.png","blank.png","blank.png",0,1,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,1,75.0210437998176,101.428214499727,26.4071706999093,1,"local","[1024, 768]","[1920 1080]",NA,"mn003"
"mn003",11,6,2021,3,10,"3 or younger","KULeuven","Dutch","no","2025-04-22_11h52.53.377","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item03",1,2,"test_p3","p3","colored PNG/PICTURE_264.png",NA,NA,NA,"blank.png","colored PNG/PICTURE_285.png","colored PNG/PICTURE_264.png","blank.png","blank.png","blank.png","blank.png",0,0,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,105.677183699794,115.622721699998,9.94553800020367,1,"local","[1024, 768]","[1920 1080]",NA,"mn003"
"mn003",11,6,2021,3,10,"3 or younger","KULeuven","Dutch","no","2025-04-22_11h52.53.377","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item04",1,3,"test_p4","p4","colored PNG/PICTURE_423.png",NA,NA,NA,"colored PNG/PICTURE_78.png","blank.png","blank.png","colored PNG/PICTURE_423.png","colored PNG/PICTURE_353.png","blank.png","blank.png",0,0,0,1,0,0,0,NA,NA,NA,1,NA,NA,NA,1,119.888810100034,131.046154599637,11.1573444996029,1,"local","[1024, 768]","[1920 1080]",NA,"mn003"
"mn003",11,6,2021,3,10,"3 or younger","KULeuven","Dutch","no","2025-04-22_11h52.53.377","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item05",1,3,"test_p5","p5","colored PNG/PICTURE_695.png",NA,NA,NA,"colored PNG/PICTURE_285.png","blank.png","blank.png","colored PNG/PICTURE_78.png","colored PNG/PICTURE_695.png","blank.png","blank.png",0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,1,135.283881600015,148.54267330002,13.2587917000055,0,"local","[1024, 768]","[1920 1080]",NA,"mn003"
"mn003",11,6,2021,3,10,"3 or younger","KULeuven","Dutch","no","2025-04-22_11h52.53.377","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item06",1,3,"test_p1","p1","colored PNG/PICTURE_353.png",NA,NA,NA,"colored PNG/PICTURE_264.png","blank.png","blank.png","colored PNG/PICTURE_353.png","colored PNG/PICTURE_423.png","blank.png","blank.png",0,0,0,1,0,0,0,1,NA,NA,1,1,NA,NA,1,152.827805299778,172.098518699873,19.2707134000957,0,"local","[1024, 768]","[1920 1080]",NA,"mn003"
"mn003",11,6,2021,3,10,"3 or younger","KULeuven","Dutch","no","2025-04-22_11h52.53.377","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item07",1,4,"test_p3","p3","colored PNG/PICTURE_285.png",NA,NA,NA,"blank.png","colored PNG/PICTURE_264.png","colored PNG/PICTURE_285.png","blank.png","blank.png","colored PNG/PICTURE_353.png","colored PNG/PICTURE_695.png",0,0,1,0,0,0,0,NA,1,1,NA,NA,1,1,1,176.135737299919,186.034838499967,9.89910120004788,0,"local","[1024, 768]","[1920 1080]",NA,"mn003"
"mn003",11,6,2021,3,10,"3 or younger","KULeuven","Dutch","no","2025-04-22_11h52.53.377","manynumbers_ams_visualmemory_v2025.0301B","2022.2.5","item08",1,4,"test_p2","p2","colored PNG/PICTURE_78.png",NA,NA,NA,"blank.png","colored PNG/PICTURE_78.png","colored PNG/PICTURE_264.png","blank.png","blank.png","colored PNG/PICTURE_695.png","colored PNG/PICTURE_423.png",0,1,0,0,0,0,0,NA,1,1,NA,NA,1,1,1,190.231427100021,204.725752499886,14.4943253998645,0,"local","[1024, 768]","[1920 1080]",NA,"mn003"
