"","participant","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"1","KULeuven_mn034",1,3,1,1,1,1,1,"8-knower"
"2","KULeuven_mn034",2,3,1,1,1,1,1,"8-knower"
"3","KULeuven_mn034",3,3,1,1,1,1,1,"8-knower"
"4","KULeuven_mn034",4,3,1,1,1,1,1,"8-knower"
"5","KULeuven_mn034",5,3,1,1,1,1,1,"8-knower"
"6","KULeuven_mn034",6,3,1,1,1,1,1,"8-knower"
"7","KULeuven_mn034",8,3,1,1,1,1,1,"8-knower"
"8","KULeuven_mn034",10,3,0,0,1,0,1,"8-knower"
